"Front","Back","Tags"
"<b>De frequentie van het Nederlandse elektriciteitsnet is:</b><br><br><b>A:</b> 50 Hz<br><b>B:</b> 60 Hz<br><b>C:</b> 100 Hz<br><b>D:</b> 25 Hz<br>","<b>✅ CORRECT ANTWOORD: 50 Hz</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>50 Hz</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>60 Hz</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>100 Hz</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>25 Hz</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","type::begrip;prioriteit::hoog"
"<b>De netspanning in Nederland is (effectief):</b><br><br><b>A:</b> 230 V<br><b>B:</b> 220 V<br><b>C:</b> 325 V<br><b>D:</b> 400 V<br>","<b>✅ CORRECT ANTWOORD: 230 V</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>230 V</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>220 V</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>325 V</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>400 V</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","type::begrip;prioriteit::hoog"
"<b>Bij een condensator ijlt de stroom:</b><br><br><b>A:</b> 90° voor op de spanning<br><b>B:</b> 90° achter op de spanning<br><b>C:</b> 180° op de spanning<br><b>D:</b> In fase met spanning<br>","<b>✅ CORRECT ANTWOORD: 90° voor op de spanning</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>90° voor op de spanning</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>90° achter op de spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>180° op de spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>In fase met spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","topic::condensator;type::begrip;prioriteit::hoog"
"<b>Bij een spoel ijlt de stroom:</b><br><br><b>A:</b> 90° achter op de spanning<br><b>B:</b> 90° voor op de spanning<br><b>C:</b> 180° op de spanning<br><b>D:</b> In fase met spanning<br>","<b>✅ CORRECT ANTWOORD: 90° achter op de spanning</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>90° achter op de spanning</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>90° voor op de spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>180° op de spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>In fase met spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","topic::spoel;type::begrip;prioriteit::hoog"
"<b>Thévenin equivalent bestaat uit:</b><br><br><b>A:</b> U_th in serie met R_th<br><b>B:</b> I_N parallel met R_N<br><b>C:</b> Alleen U_th<br><b>D:</b> Alleen R_th<br>","<b>✅ CORRECT ANTWOORD: U_th in serie met R_th</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 9 - Thévenin<br>
<b>📖 Holmes:</b> Hoofdstuk 3 §3.11<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
U_{th} serie met R_{th}<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: I_N parallel met R_N</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Alleen U_th</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Alleen R_th</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::thevenin;type::begrip;prioriteit::examen-kritisch"
"<b>Norton equivalent bestaat uit:</b><br><br><b>A:</b> I_N parallel met R_N<br><b>B:</b> U_th in serie met R_th<br><b>C:</b> Alleen I_N<br><b>D:</b> Alleen R_N<br>","<b>✅ CORRECT ANTWOORD: I_N parallel met R_N</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 9 - Norton<br>
<b>📖 Holmes:</b> Hoofdstuk 3 §3.11<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
I_N parallel met R_N<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: U_th in serie met R_th</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Alleen I_N</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Alleen R_N</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","domain::netwerk-analyse;topic::norton;type::begrip;prioriteit::hoog"
"<b>Norton stroom (I_N) is gelijk aan:</b><br><br><b>A:</b> Kortsluitstroom<br><b>B:</b> Open-klem stroom<br><b>C:</b> Helft van kortsluitstroom<br><b>D:</b> Gemiddelde stroom<br>","<b>✅ CORRECT ANTWOORD: Kortsluitstroom</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 9 - Norton<br>
<b>📖 Holmes:</b> Hoofdstuk 3 §3.11<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
I_N parallel met R_N<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Open-klem stroom</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Helft van kortsluitstroom</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Gemiddelde stroom</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","domain::netwerk-analyse;topic::norton;type::begrip;prioriteit::hoog"
"<b>Thévenin spanning (U_th) is gelijk aan:</b><br><br><b>A:</b> Open-klem spanning<br><b>B:</b> Kortsluitspanning<br><b>C:</b> Helft van open-klem spanning<br><b>D:</b> Gemiddelde spanning<br>","<b>✅ CORRECT ANTWOORD: Open-klem spanning</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 9 - Thévenin<br>
<b>📖 Holmes:</b> Hoofdstuk 3 §3.11<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
U_{th} serie met R_{th}<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Kortsluitspanning</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Helft van open-klem spanning</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Gemiddelde spanning</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::thevenin;type::begrip;prioriteit::examen-kritisch"
"<b>Het rendement bij vermogensaanpassing is:</b><br><br><b>A:</b> 50%<br><b>B:</b> 100%<br><b>C:</b> 75%<br><b>D:</b> 25%<br>","<b>✅ CORRECT ANTWOORD: 50%</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Rendement<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \eta = \frac{P_{uit}}{P_{in}} \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: 100%</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: 75%</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: 25%</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","domain::vermogen;topic::vermogen;type::begrip;prioriteit::examen-kritisch"
"<b>Bij hogere frequentie wordt X_C:</b><br><br><b>A:</b> Kleiner<br><b>B:</b> Groter<br><b>C:</b> Blijft gelijk<br><b>D:</b> Eerst groter, dan kleiner<br>","<b>✅ CORRECT ANTWOORD: Kleiner</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 3 - Capacitieve reactantie<br>
<b>📖 Holmes:</b> Hoofdstuk 6 §6.7<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( X_C = \frac{1}{2\pi f C} \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Groter</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Blijft gelijk</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Eerst groter, dan kleiner</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::begrip;prioriteit::hoog"
"<b>Bij hogere frequentie wordt X_L:</b><br><br><b>A:</b> Groter<br><b>B:</b> Kleiner<br><b>C:</b> Blijft gelijk<br><b>D:</b> Eerst kleiner, dan groter<br>","<b>✅ CORRECT ANTWOORD: Groter</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 3 - Inductieve reactantie<br>
<b>📖 Holmes:</b> Hoofdstuk 5 §5.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( X_L = 2\pi f L \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Kleiner</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Blijft gelijk</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Eerst kleiner, dan groter</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::begrip;prioriteit::hoog"
"<b>Bij een puur resistieve belasting is cos φ:</b><br><br><b>A:</b> 1<br><b>B:</b> 0<br><b>C:</b> 0.5<br><b>D:</b> ∞<br>","<b>✅ CORRECT ANTWOORD: 1</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 6 - Arbeidsfactor<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \cos\varphi = \frac{P}{S} \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: 0</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: 0.5</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: ∞</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::arbeidsfactor;type::begrip;prioriteit::examen-kritisch"
